checkpoint_path,status,updated_at,checkpoint_type,branch,ssl_objective,segment_ssl_method,base_seed,effective_seed,fold_index,test_subject_id,excluded_subject_id,ssl_data_scope,historical_unlabeled_pretraining,segment_feature_kind,supervised_feature_kind,encoder_kind,embedding_dim,dropout,projection_dim,pretrain_epochs,pretrain_lr,batch_size,feature_mask_prob,noise_std,lambda_latent,lambda_local,n_ssl_segments,source_feature_manifest_hash,graph_smoothness_weight,qeeg_auxiliary_enabled,lambda_qeeg,qeeg_feature_name,qeeg_scaler_hash,qeeg_fit_subject_ids,data_scope,seed
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold18_test_sub29_emb32_pre20_all-patient.pt,saved,2026-05-27T13:51:12.337081+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,18,18,sub29,sub29,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16460,d92882b910931e0e355c908525d02f8aa412515e8cd0c58c9330fc1075f4b9fa,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold02_test_sub07_emb32_pre20_all-patient.pt,saved,2026-05-27T12:42:47.193040+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,2,2,sub07,sub07,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16316,767aede806781fc1343b2fb8fd5fb97628c3c10b14b56f496befd356d2b3b7f5,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold03_test_sub08_emb32_pre20_all-patient.pt,saved,2026-05-27T12:47:18.574470+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,3,3,sub08,sub08,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16371,333f139bed2ff3dd738f189d08aa1b4b8a871c7e4255990c8550162ae9c71d93,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold04_test_sub09_emb32_pre20_all-patient.pt,saved,2026-05-27T12:51:57.783546+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,4,4,sub09,sub09,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16494,e6cbc7851e35d026194abfde1999c62e5b0ba7400c0fa21433c3edd656f212aa,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold05_test_sub10_emb32_pre20_all-patient.pt,saved,2026-05-27T12:56:29.642031+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,5,5,sub10,sub10,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16426,5adcc52880854a73cd6b57ff5b73dd0e7e6f07fdd69bfbfec52fdbfb8d4c4879,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold06_test_sub11_emb32_pre20_all-patient.pt,saved,2026-05-27T13:00:58.672068+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,6,6,sub11,sub11,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16420,b1aac61443e8005521e83f3a54f16f28488ec7bb961d57563c0965a3207cb04f,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold07_test_sub13_emb32_pre20_all-patient.pt,saved,2026-05-27T13:05:21.447900+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,7,7,sub13,sub13,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16452,ae9000bfddcaa8a605342295ea6f05f6da64b047a7bd5c3d5a02e4d81f9a5106,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold08_test_sub14_emb32_pre20_all-patient.pt,saved,2026-05-27T13:09:47.948269+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,8,8,sub14,sub14,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16443,54c2e60aa77fc300b586aaf95444f4d96d01d2da71341cad28d41e981d967a95,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed0_fold09_test_sub15_emb32_pre20_all-patient.pt,saved,2026-05-27T13:14:13.244216+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,0,9,9,sub15,sub15,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16361,437f599ed57b71148f346f2d61413fd4766ad2e3f3ae7a774f20e1846bd65fdc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold00_test_sub01_emb32_pre20_all-patient.pt,saved,2026-05-27T13:55:49.122908+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,1,0,sub01,sub01,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16318,9f37c9fdec6654d34ec6754f62c7051bb005b375a50f8c74f8404adcc9440c80,,,,,,,,
