model,architecture,feature_kind,fusion,encoder_kind,pretrained,pretrained_transfer_mode,status,skip_reason,learning_rate,weight_decay,positive_class_weight,negative_class_weight,embedding_dim,dropout,seed,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,run_name,segment_ssl,segment_ssl_objective,segment_ssl_feature_kind,ssl_data_scope,historical_unlabeled_pretraining,lambda_latent,lambda_local,ssl_projection_dim,ssl_feature_mask_prob,ssl_noise_std,ensemble_size
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,0,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8333333333333334,0.8643253968253968,segssl_vicreg_all-patient_psd_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,1,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.9111111111111112,0.9208444333444333,segssl_vicreg_all-patient_psd_finetune_seed1_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,2,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.8666666666666667,0.8718650793650793,segssl_vicreg_all-patient_psd_finetune_seed2_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,3,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.7555555555555555,0.7525641025641024,segssl_vicreg_all-patient_psd_finetune_seed3_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,7,0.8947368421052632,0.8888888888888888,1.0,0.7777777777777778,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9497222222222221,segssl_vicreg_all-patient_psd_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,trained,,0.002,1e-05,1.0,1.0,32.0,0.0,13,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8333333333333334,0.8484920634920635,segssl_vicreg_all-patient_psd_finetune_seed13_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,True,1.0,0.1,32.0,0.03,0.02,
seed_ensemble,,,,,,,,,,,,,,,ensemble,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.8777777777777778,0.878683261183261,segssl_vicreg_all-patient_psd_finetune_seedensemble6_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,vicreg,psd,all-patient,,,,,,,6.0
