metric,seed_mean,seed_std,seed_min,seed_max,n_seeds
accuracy,0.6666666666666666,0.0841373951458372,0.5263157894736842,0.7894736842105263,6
balanced_accuracy,0.6620370370370371,0.08494834224680378,0.5277777777777778,0.7944444444444444,6
sensitivity,0.75,0.1258305739211792,0.5,0.9,6
specificity,0.574074074074074,0.14930106941293608,0.4444444444444444,0.8888888888888888,6
roc_auc,0.7185185185185184,0.10918076276284204,0.5888888888888889,0.9,6
pr_auc,0.7296838319632437,0.10420903345190433,0.5905680430680431,0.8737698412698411,6
