metric,seed_mean,seed_std,seed_min,seed_max,n_seeds
accuracy,0.7982456140350878,0.056167756468709175,0.6842105263157895,0.8421052631578947,6
balanced_accuracy,0.7879629629629629,0.05741487406639808,0.6722222222222223,0.8333333333333333,6
sensitivity,0.9833333333333334,0.03726779962499649,0.9,1.0,6
specificity,0.5925925925925926,0.0828173324999922,0.4444444444444444,0.6666666666666666,6
roc_auc,0.8185185185185185,0.03831140901032816,0.7555555555555555,0.8666666666666667,6
pr_auc,0.8170641395641395,0.06859412467471104,0.6939177489177489,0.8946503496503496,6
