fold_index,test_subject_id,epoch,objective,feature_kind,n_segments,batch_size,embedding_dim,projection_dim,learning_rate,feature_mask_prob,noise_std,lambda_latent,lambda_local,loss,alignment_loss,masked_latent_loss,local_reconstruction_loss,barlow_on_diag_loss,barlow_off_diag_loss,vicreg_invariance_loss,vicreg_variance_loss,vicreg_covariance_loss,ssl_data_scope,historical_unlabeled_pretraining,run_name,ssl_only_cache
0,sub01,14,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6951549912828848,0.5858033098191379,0.02045259318978663,0.8889908599426072,0.11987098075534806,93.18646766085074,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,15,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7136725761975901,0.6033629906248761,0.021347376454873866,0.8896220851229482,0.13551497262746257,93.56960585392804,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,16,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6931627526345006,0.5836506927037144,0.020411499467978916,0.8910056087837751,0.12559785521521968,91.61056942578806,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,17,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7089958439666436,0.600645319814701,0.019286978292275235,0.8906354805625293,0.13866028765590296,92.39700866030506,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,18,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6878629109536509,0.57980054682232,0.019228804871380567,0.8883355854754429,0.12786632369966264,90.38684674753137,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,19,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.680025805455755,0.5715622543338761,0.019808910994890676,0.8865464118372397,0.12034504974921387,90.24344279376633,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
0,sub01,20,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6920483476255994,0.5834678606208102,0.019936146726646273,0.8864433934014156,0.12807631689755514,91.07831062833627,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
1,sub05,1,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,1.1654926105087022,0.8646657766098995,0.20266180826848246,0.9816502642584037,0.17013288299883325,138.9065819090581,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
1,sub05,2,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.8522624103908994,0.7337634447680051,0.02396722595055265,0.9453174044411495,0.15159411104145532,116.43386881854904,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
1,sub05,3,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.831335555153539,0.719804669637604,0.018624255381732346,0.9290663003921509,0.17677585042612368,108.60576600762478,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed0_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup0_ssl_cache_10seed_locked,True
