model,color,metric_source,accuracy,balanced_accuracy,sensitivity,specificity,roc_auc,pr_auc
Logistic L1,#4E79A7,core_ablation_10seed_summary.csv,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7111111111111112,0.7754058441558441
No-SSL CNN,#F28E2B,core_ablation_10seed_summary.csv,0.7631578947368421,0.7566666666666666,0.8800000000000001,0.6333333333333334,0.7733333333333333,0.7534506180094416
Barlow CNN,#E15759,core_ablation_10seed_summary.csv,0.7894736842105263,0.7822222222222222,0.92,0.6444444444444444,0.7766666666666666,0.7531732711732712
Residual-aware CNN,#7B6AB0,core_ablation_10seed_summary.csv,0.8157894736842106,0.8122222222222222,0.8800000000000001,0.7444444444444445,0.8988888888888888,0.9084416416916417
Residual-aware SSL-CNN,#2EAD74,final_model_ablation_explainability_results_20260610\independent_train_gpu_main\results\tables\final_Residual_ssl_cnn.csv,0.8473600000000001,0.8411000000000002,0.96,0.7222500000000001,0.8866799999999999,0.8910399999999999
