model_family,model_name,input_features,feature_selection,inference_type,result_role,legacy_warning,n_subjects,n_positive,n_negative,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,source_file,model,status,skip_reason,contrast,model_key,interpretation,reproduce_command,availability,row_type,ablation_name,ablation_description,n_input_columns,explainability_alignment,label_definition,threshold_type,residual_threshold,margin,n_excluded_near_threshold
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_gaussian_nb_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.4705882352941176,0.4736842105263134,0.6222222222222222,0.601017316017316,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_knn_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.4736842105263157,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.3040935672514619,0.6833333333333333,0.7651315789473684,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_knn_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.3333333333333333,0.6055555555555556,0.5838888888888889,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l1_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.2080008975512415,0.7111111111111112,0.7754058441558441,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l1_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.3068675593658492,0.4444444444444444,0.5495546038928392,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l2_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.2214181508049306,0.7777777777777778,0.8397209653092005,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l2_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2071648198306706,0.7666666666666666,0.7934371184371183,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.2709644736842104,0.3777777777777777,0.5090115418637091,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.2874486842105263,0.3166666666666667,0.4447394220846233,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_linear_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,Generated by script 39 if present; used for incremental value only.,19.0,10.0,9.0,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.2507348722963763,0.6666666666666667,0.6665509928667823,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
