model,mean_accuracy,std_accuracy,min_accuracy,mean_roc_auc,mean_pr_auc,mean_brier
no-SSL CNN (updated),0.7526315789473684,0.0942972256166785,0.5789473684210527,0.7833333333333334,0.7686484055160524,
Patient-level Barlow baseline,0.7526315789473684,0.0528940822164257,0.6842105263157895,0.7388888888888888,0.7193753599341834,
Residual-aware SSL-CNN,0.8368421052631578,0.0388349888090853,0.7894736842105263,0.86,0.8584921744921743,0.1415899918315827
