feature_id,k,n_selected,n_seeds,selection_frequency,feature_family,stability_metric,seed_a,seed_b,spearman_corr,jaccard_similarity,mean_abs_attribution,bootstrap_ci_low,bootstrap_ci_high,n_subjects,validation_source,group_name,delta_probability
EC|F8|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8|Theta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC1|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Alpha,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Alpha,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Theta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FZ|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|OZ|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|P2|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|P2|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO3|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO3|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO5|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO5|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO5|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PZ|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PZ|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|T8|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF3|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C4|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Alpha,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP4|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Theta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FPZ|Beta Medium,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|O1|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Theta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P2|Alpha,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P2|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P6|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|PO8|Delta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|POZ|Theta,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Beta Low,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-C5|Beta High,10.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP1|Beta High,10.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-FC4|Beta High,10.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P3|Beta Medium,10.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P5|Beta Medium,10.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FC5|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-P2|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP6|Beta Low,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP4-CB1|Beta High,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-C3|Beta High,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C6|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP2|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP3|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP4|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P2|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7-P2|Beta Medium,10.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-F7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FC1|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-C4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-O1|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-P6|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-C4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-CB2|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-P4|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-PO5|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-PO7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-TP7|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP4|Beta Low,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP4|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP4-O1|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CZ-C6|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-C2|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F2-O1|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-C4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FC3|Theta,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FC4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FZ|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-CB1|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-O1|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-F8|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FC2|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FC5|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FT8|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-PO5|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-PO7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-TP8|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F7-P4|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F7-P6|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C2|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C4|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP5|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP6|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-FC2|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P6|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-PO3|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC1-CB2|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC1-FC4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-FC4|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-FT8|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-PO6|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-POZ|Alpha,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-T8|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-C6|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-O1|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-PO7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-T7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-TP8|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FCZ-CP1|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-FC3|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P1|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P3|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FPZ-F6|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8-CP4|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FZ-FCZ|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|P1-PO7|Beta Medium,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|P3-PO5|Beta Low,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|T7-P7|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|T8-P3|Beta High,10.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7-P2|Beta Medium,20.0,6.0,10.0,0.6,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP1|Beta High,20.0,4.0,10.0,0.4,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P3|Beta Medium,20.0,4.0,10.0,0.4,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-P2|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP6|Beta Low,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-C5|Beta High,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C2|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C4|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-C6|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP4|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-FC4|Beta High,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-P5|Beta Medium,20.0,3.0,10.0,0.3,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FC5|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C2-T8|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP4-CB1|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP6-P4|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-C3|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-C4|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FC5|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-PO7|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP2|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8-CP3|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC1-FC4|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC3-PO6|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-C6|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-T8|Beta Low,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FC6-TP8|Beta High,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P1|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P2|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FP2-P3|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|P1-PO7|Beta Medium,20.0,2.0,10.0,0.2,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-C3|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-C5|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-CP6|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-F6|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-F7|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FC1|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FC3|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|AF4-FT8|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-C4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-CB1|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-O1|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-P4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C3-P6|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-C4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-CB2|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-P4|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C5-PZ|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-P7|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-PO5|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-PO7|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6-TP7|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP4|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-CP4|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-O1|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-PZ|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2-TP8|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP4-O1|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP4-TP8|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP5-P5|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP6-P8|Theta,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CZ-C6|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-C2|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-CP4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-FCZ|Alpha,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-P1|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-PO3|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F1-PO4|Alpha,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F2-C2|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F2-C5|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F2-F4|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F2-O1|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-C2|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-C4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FC3|Theta,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FC4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-FZ|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F3-PO6|Alpha,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-CB1|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-O1|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-T7|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F4-TP8|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F5-C1|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F5-F3|Beta Low,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F5-FC4|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-C4|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-F8|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-F8|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FC2|Beta High,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F6-FT8|Beta Medium,20.0,1.0,10.0,0.1,WPLI,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
