feature_id,k,n_selected,n_seeds,selection_frequency,feature_family,stability_metric,seed_a,seed_b,spearman_corr,jaccard_similarity,mean_abs_attribution,bootstrap_ci_low,bootstrap_ci_high,n_subjects,validation_source,group_name,delta_probability
EO|F5|Delta,20.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Delta,20.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P1|Theta,20.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Delta,20.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Beta High,20.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Delta,20.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FT7|Delta,20.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Delta,20.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Beta High,20.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Delta,20.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Theta,20.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Beta High,20.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Beta Medium,20.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|O1|Beta High,20.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Beta Low,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Beta Medium,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP3|Theta,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F2|Beta High,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F4|Beta Medium,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F5|Beta Medium,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|PZ|Beta Low,20.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF4|Beta High,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Delta,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Beta Low,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Theta,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Beta High,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Theta,20.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C4|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP2|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
