subject_id,seed,fold_index,sanity_check,psd_eo_correlation,wpli_eo_correlation
sub01,0,0,classifier_randomization,0.6274505257606506,0.9974767565727234
sub01,0,0,input_permutation,0.11943250149488449,0.25323057174682617
sub05,0,1,classifier_randomization,0.9573293924331665,0.9662528038024902
sub05,0,1,input_permutation,0.1033342182636261,0.06750456243753433
sub07,0,2,classifier_randomization,0.8776893615722656,0.9275543689727783
sub07,0,2,input_permutation,0.2483210414648056,0.11665146052837372
sub08,0,3,classifier_randomization,-0.9282671809196472,0.8561167120933533
sub08,0,3,input_permutation,0.06967280060052872,0.15305233001708984
sub09,0,4,classifier_randomization,0.21865715086460114,0.27078676223754883
sub09,0,4,input_permutation,0.1689029186964035,0.24668365716934204
sub10,0,5,classifier_randomization,0.9820432662963867,0.961850643157959
sub10,0,5,input_permutation,0.29780521988868713,0.16044077277183533
sub11,0,6,classifier_randomization,0.9106091856956482,-0.9945907592773438
sub11,0,6,input_permutation,0.17812219262123108,0.13296270370483398
sub13,0,7,classifier_randomization,-0.9381841421127319,-0.22101233899593353
sub13,0,7,input_permutation,0.301277756690979,0.21152901649475098
