state,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,0.5,0,Delta,0.00026910308811024,0.00031479803220921086,0.006270032020604621,11780,3.382080131900621e-05,0.0006269949554205493,0.0003705508588909864
EC,1.0,1,Delta,0.00011677567412438807,0.0002116626481404087,0.004283653408260271,11780,3.223747864808617e-05,0.0004110239475763226,0.0002478869392544193
EC,1.5,2,Delta,-0.00012061075165538432,0.00016889004030184787,0.0028957720292101053,11780,2.9024297160288467e-05,0.00032429642157024726,0.00019739165854750263
EC,2.0,3,Delta,-9.536410344701799e-05,0.0001365656076802247,0.0017541714301588678,11780,3.4893944592216395e-05,0.0002495341222224561,0.00015821997393193735
EC,2.5,4,Delta,-4.685825866136173e-05,0.00010251669650328019,0.0009444703333758574,11780,4.049685357874391e-05,0.00017142763308609829,0.00011701056509205653
EC,3.0,5,Delta,-3.395654274930019e-05,9.332922535421874e-05,0.0008164568782293348,11780,3.784947737212546e-05,0.0001549733897787668,0.00010616732546180252
EC,3.5,6,Delta,-5.504809579767548e-05,0.00010316078805476083,0.001151239460556148,11780,3.273206548261717e-05,0.00018141492424603156,0.00011786550975588805
EC,4.0,7,Theta,-5.392544071158349e-05,0.00010310254645763429,0.001045323374476131,11780,3.3504318755209026e-05,0.00018043391057144016,0.00011817957522409398
EC,4.5,8,Theta,-5.0922215494208217e-05,9.627577020277533e-05,0.0010623318743539745,11780,3.400901824433334e-05,0.00016546105015659976,0.00011023094753813737
EC,5.0,9,Theta,-2.586033266339147e-05,9.094088665842894e-05,0.0008280267774404524,11780,3.4699029988674556e-05,0.00015343183851371155,0.00010434843258026596
EC,5.5,10,Theta,-5.51340551628491e-05,8.924630896746497e-05,0.0007540504181885186,11780,3.44084014914029e-05,0.00015017731727420063,0.00010292758024917695
EC,6.0,11,Theta,-4.2067918086115394e-05,8.175613374059174e-05,0.0006157007309886777,11780,2.9394022209481673e-05,0.00013993625766404736,9.429912958045802e-05
EC,6.5,12,Theta,-3.7200253592868496e-05,7.57952734221148e-05,0.0005663996966519086,11780,2.799189719757036e-05,0.00012891013589383084,8.734619178725857e-05
EC,7.0,13,Theta,-3.518799880083051e-05,6.847615723435732e-05,0.000357452358286632,11780,3.3352217159084004e-05,0.00010750275731799434,7.868220555073086e-05
EC,7.5,14,Theta,-4.51110061637522e-05,7.757655228558314e-05,0.0005530331317220751,11780,4.843966377500721e-05,0.00010995087285288974,8.924382265802571e-05
EC,8.0,15,Alpha,-0.00010685457015010728,0.00013633339873585397,0.0018120230480072092,11780,8.826022161676564e-05,0.00018974803997928548,0.00015850166123505282
EC,8.5,16,Alpha,-6.707691705288446e-05,0.00018558483964939483,0.0023401352448351263,11780,0.00010893767823538156,0.0002707483523316318,0.0002179758556811162
EC,9.0,17,Alpha,-6.950583416697878e-05,0.0002062114069881156,0.0030638317977317907,11780,6.0688624393668224e-05,0.00036790338764861264,0.00024298470536086755
EC,9.5,18,Alpha,3.684863195435411e-05,0.00015693417262717017,0.0023002089618890946,11780,3.0255258415279044e-05,0.00029768852175149357,0.00018371426522937497
EC,10.0,19,Alpha,-9.023575162834667e-05,0.00013420897273907736,0.0018190752825461344,11780,3.187722584681416e-05,0.0002479109137304809,0.00015539558241387465
EC,10.5,20,Alpha,-6.330511315446922e-05,9.75197951751559e-05,0.0007206784750437172,11780,4.078113226661259e-05,0.00016056275396242626,0.00011004296420881041
EC,11.0,21,Alpha,-5.8219005533761694e-05,8.842674796331483e-05,0.0007554543354102175,11780,4.915498243090227e-05,0.00013206204299932877,9.611849720656008e-05
EC,11.5,22,Alpha,-5.7201390067078426e-05,9.150590173399772e-05,0.0005523438485320574,11780,7.377019994632289e-05,0.00011121223705363645,9.963565039347556e-05
EC,12.0,23,Alpha,-6.802174032136418e-05,0.00010789595966502455,0.0007508738784522759,11780,8.536158950202128e-05,0.0001329341487350282,0.00012174358416321642
EC,12.5,24,Alpha,-5.43815639936013e-05,0.0001037208811391402,0.0007838028695644693,11780,7.599778653543136e-05,0.0001345243195877056,0.00011788109098304169
EC,13.0,25,Beta Low,-6.33417760856346e-05,0.00010978044431897176,0.0009139567381813661,11780,6.692546046214592e-05,0.00015739709304877825,0.0001255451229415284
EC,13.5,26,Beta Low,-6.943087502012143e-05,0.00012053192029439821,0.0011819392037631085,11780,5.859277628393541e-05,0.00018935319141713465,0.00013912389861845518
EC,14.0,27,Beta Low,-4.380184092763797e-05,0.00011989375808232086,0.0012143658732641379,11780,5.241372404811824e-05,0.0001948715736758793,0.00013859787415425475
EC,14.5,28,Beta Low,-4.8948367095563765e-05,0.00011555110976481816,0.001187840223522415,11780,4.8782688783331946e-05,0.0001897382441886917,0.00013357462122584468
