state,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band,band_index,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,network_group,interhemispheric
EC,736,F8,CP1,13,35,Beta High,5,0.00015427346372090861,0.0021283631569602624,0.0019159485582088975,190,0.0020875954281791096,0.002173660633383765,0.0020658057095251986,central|frontal,True
EC,794,FT7,P2,14,46,Beta Medium,4,-0.001331389588679453,0.0021186981913683825,0.004415317127389693,190,0.003004421795930581,0.0011345608529659392,0.002366762572910546,frontal|parietal,True
EC,1209,C5,P2,24,46,Beta Medium,4,-0.0005286463368831497,0.002111168649413474,0.0032089986538688673,190,0.002427169412967449,0.0017600566899090573,0.0023837369472691655,central|parietal,True
EC,628,F4,C5,11,24,Beta High,5,-6.22275993536233e-05,0.0020966973611776228,0.002322513069598934,190,0.0018330201000116583,0.002389672095806472,0.002289729040967311,central|frontal,True
EC,721,F8,FC4,13,20,Beta High,5,0.0009936382420786764,0.002095080171076009,0.0018345210026027537,190,0.0016814072028136702,0.0025547168024786073,0.0020446807131703046,frontal,False
EC,703,F6,PO7,12,50,Beta Medium,4,-0.0012602321422156269,0.002076514197822068,0.0029426950900983727,190,0.002525458530853895,0.0015776871611200382,0.0023501077420113457,frontal|parietal,True
EC,744,F8,P3,13,43,Beta Medium,4,-0.0010200870116447887,0.002063900780682285,0.003305447383335982,190,0.0023100274450723263,0.001790426709137794,0.0023401621494032127,frontal|parietal,True
EC,1592,CP2,CP6,37,39,Beta Low,3,0.00010469632976597596,0.002052854123619291,0.0026173091827691574,190,0.0015265542351971407,0.0026376317774216805,0.0018250705587653697,central,False
EC,729,F8,C2,13,28,Beta Medium,4,-0.0011830987647523411,0.0020491434866447148,0.0029054720119329274,190,0.002269557406489137,0.0018042391312620238,0.0023678576951781413,central|frontal,False
EC,743,F8,P5,13,42,Beta Medium,4,-0.0011870701758474951,0.002031276862330376,0.0031963271831049567,190,0.002504122625284669,0.0015058926812700504,0.002273424018768793,frontal|parietal,True
EC,164,FP2,P2,2,46,Beta Medium,4,-0.0007921501123698702,0.002028116637120507,0.0031891050188409945,190,0.0019025745436419622,0.0021676078520966677,0.0023101398008624823,frontal|parietal,False
EC,748,F8,P4,13,47,Beta High,5,-7.038566886637031e-05,0.0020164030012030775,0.00204429168508816,190,0.00191648282918317,0.0021274254145585304,0.0021944035369466314,frontal|parietal,False
