model_name,n_subjects,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,accuracy_low_ci,accuracy_high_ci,balanced_accuracy_low_ci,balanced_accuracy_high_ci,sensitivity_low_ci,sensitivity_high_ci,specificity_low_ci,specificity_high_ci,roc_auc_low_ci,roc_auc_high_ci,pr_auc_low_ci,pr_auc_high_ci,brier_score_low_ci,brier_score_high_ci,binomial_accuracy_p,ece,calibration_intercept,calibration_slope
no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17703440492023229,0.8111111111111111,0.807983682983683,0.6842105263157895,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.5641025641025641,1.0,0.5313131313131313,1.0,0.04758694309519268,0.327037357073416,0.0022125244140625,0.16343051928477947,-0.5397412409416784,0.5326596077564151
residual_aware_SSL_CNN_seedmean10,19,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531,0.6842105263157895,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.6,1.0,0.5695767195767195,1.0,0.03524587716249797,0.23690728429529487,0.0022125244140625,0.2107878329082222,-0.729695097572971,1.314608991631286
ML_EEG_updated_no_selector_logistic_l1,19,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441,0.5263157894736842,0.8947368421052632,0.5222222222222221,0.911887254901959,0.5,1.0,0.3333333333333333,1.0,0.44047619047619047,0.9333333333333333,0.49442814625850345,0.9652426046176046,0.13586517445563037,0.2833278069227372,0.0317840576171875,0.05959935374750277,0.13948102515386696,1.070543843604875
