criterion,passed,swa_value,no_ssl_value
mean_accuracy_gt_no_ssl,True,0.7947368421052632,0.7947368421052631
min_accuracy_ge_no_ssl_min,True,0.7368421052631579,0.631578947368421
std_accuracy_lower,True,0.038834988809085355,0.07627040392731282
mean_roc_auc_ge_no_ssl,True,0.8566666666666667,0.8055555555555557
mean_pr_auc_ge_no_ssl,True,0.84378441003441,0.7840052023140258
mean_brier_le_no_ssl,True,0.14565120699056525,0.18908812825843496
