model_group,row_type,seed,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
patient_barlow_residualaware_highrank,seed,0,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.8,0.8191558441558441,0.1803016698248301,5.0,4.0,0.0,10.0
patient_barlow_residualaware_highrank,seed,1,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.788888888888889,0.7663170163170162,0.1847516622884209,6.0,3.0,1.0,9.0
patient_barlow_residualaware_highrank,seed,2,0.7368421052631579,0.7222222222222222,1.0,0.4444444444444444,0.6666666666666666,0.8,0.7444444444444445,0.764057609057609,0.1934109697340014,4.0,5.0,0.0,10.0
patient_barlow_residualaware_highrank,seed,3,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.7333333333333334,0.7309598734598735,0.1780707322159923,6.0,3.0,1.0,9.0
patient_barlow_residualaware_highrank,seed,4,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8555555555555556,0.868034188034188,0.1590190911179965,6.0,3.0,1.0,9.0
patient_barlow_residualaware_highrank,seed,5,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.7777777777777778,0.8183225108225108,0.2012200910733479,5.0,4.0,1.0,9.0
patient_barlow_residualaware_highrank,seed,7,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8111111111111111,0.8246503496503496,0.1759582539782271,6.0,3.0,1.0,9.0
patient_barlow_residualaware_highrank,seed,13,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.9222222222222224,0.9387412587412588,0.1398683698749631,5.0,4.0,0.0,10.0
patient_barlow_residualaware_highrank,seed,21,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.8,0.8238170163170163,0.1716291607043131,5.0,4.0,0.0,10.0
patient_barlow_residualaware_highrank,seed,42,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.8777777777777778,0.8918650793650793,0.1386895802813533,5.0,4.0,1.0,9.0
patient_barlow_residualaware_highrank,mean,,0.7736842105263158,0.7644444444444444,0.9400000000000001,0.5888888888888889,0.7194139194139195,0.813794466403162,0.8111111111111111,0.8245920745920745,0.17229195810934456,5.3,3.7,0.6,9.4
patient_barlow_residualaware_highrank,std,,0.024118819447136022,0.025361582690029597,0.04898979485566354,0.07114582486036497,0.028412491151314067,0.018323998699186467,0.05577733510227173,0.059447260491401054,0.01976386187619339,0.6403124237432849,0.6403124237432849,0.48989794855663565,0.48989794855663565
patient_barlow_residualaware_highrank,min,,0.7368421052631579,0.7222222222222222,0.9,0.4444444444444444,0.6666666666666666,0.782608695652174,0.7333333333333334,0.7309598734598735,0.1386895802813533,4.0,3.0,0.0,9.0
patient_barlow_residualaware_highrank,max,,0.7894736842105263,0.7833333333333333,1.0,0.6666666666666666,0.75,0.8333333333333334,0.9222222222222224,0.9387412587412588,0.2012200910733479,6.0,5.0,1.0,10.0
patient_barlow_residualaware_highrank,seedmean10,ensemble,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.788888888888889,0.7663170163170162,0.16336831758475465,6.0,3.0,0.0,10.0
