criterion,passed,best_value,no_ssl_value
mean_accuracy_gt_no_ssl,True,0.8368421052631578,0.7947368421052631
min_accuracy_ge_no_ssl_min,True,0.7894736842105263,0.631578947368421
std_accuracy_lower,True,0.038834988809085355,0.07627040392731282
mean_roc_auc_ge_no_ssl,True,0.86,0.8055555555555557
mean_pr_auc_ge_no_ssl,True,0.8584921744921743,0.7840052023140258
mean_brier_le_no_ssl,True,0.14158999183158277,0.18908812825843496
