model,model_family,input_features,feature_selection,n_subjects,n_positive,n_negative,status,skip_reason,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc
clinical_only_logistic_l1,clinical_only,baseline clinical only,none,19,10,9,trained,,0.9473684210526315,0.9444444444444444,1.0,0.8888888888888888,0.9090909090909091,0.9523809523809523,0.07143090639741694,0.8888888888888888,0.7980122655122655
clinical_only_logistic_l2,clinical_only,baseline clinical only,none,19,10,9,trained,,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.10452782844930118,0.9111111111111111,0.8987698412698412
clinical_only_svm_rbf,clinical_only,baseline clinical only,none,19,10,9,trained,,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.13186715489701956,0.8666666666666667,0.7840262515262515
clinical_only_random_forest,clinical_only,baseline clinical only,none,19,10,9,trained,,0.8421052631578947,0.8444444444444444,0.8,0.8888888888888888,0.8888888888888888,0.8421052631578947,0.15668157894736842,0.8666666666666667,0.7822546897546898
clinical_only_gaussian_nb,clinical_only,baseline clinical only,none,19,10,9,trained,,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.07009699104554333,0.8888888888888888,0.7980122655122655
clinical_only_knn,clinical_only,baseline clinical only,none,19,10,9,trained,,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.14619883040935677,0.85,0.7873376623376624
