model_group,seed,threshold,threshold_method,ensemble_members,ensemble_weighting,n_subjects,n_seeds,exploratory,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,tn,fp,fn,tp,roc_auc,pr_auc
psd_wpli_segbarlow_equal_weight,0,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.21486744186579637,5,4,2,8,0.8111111111111111,0.8447358197358197
psd_wpli_segbarlow_equal_weight,1,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19781743151934794,6,3,0,10,0.7222222222222223,0.6976265401265401
psd_wpli_segbarlow_equal_weight,2,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1705278732990234,6,3,0,10,0.8111111111111112,0.7777960927960927
psd_wpli_segbarlow_equal_weight,3,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19200254374047238,6,3,0,10,0.8222222222222223,0.8446503496503496
psd_wpli_segbarlow_equal_weight,4,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.2015174694874919,6,3,1,9,0.8,0.7983621933621933
psd_wpli_segbarlow_equal_weight,5,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18796159560397566,6,3,0,10,0.8333333333333334,0.8407614607614607
psd_wpli_segbarlow_equal_weight,7,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.16919589002661498,6,3,0,10,0.8777777777777778,0.8915190365190365
psd_wpli_segbarlow_equal_weight,13,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19350348797373085,6,3,0,10,0.8666666666666667,0.8946503496503496
psd_wpli_segbarlow_equal_weight,21,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.7368421052631579,0.7222222222222222,1.0,0.4444444444444444,0.6666666666666666,0.8,0.20613192839948885,4,5,0,10,0.8222222222222223,0.8446503496503496
psd_wpli_segbarlow_equal_weight,42,0.5,fixed_0.5,psd+wpli,equal,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.20177710852448405,5,4,0,10,0.8333333333333334,0.8488566988566988
