model_group,seed,threshold,threshold_method,ensemble_members,ensemble_weighting,n_subjects,n_seeds,exploratory,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,tn,fp,fn,tp,roc_auc,pr_auc
no_ssl_stable_cnn,0,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.22869148622694987,4,5,1,9,0.7666666666666666,0.8117748917748917
no_ssl_stable_cnn,1,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.23582233825664303,5,4,1,9,0.7333333333333334,0.6942307692307692
no_ssl_stable_cnn,2,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1460949975426795,6,3,0,10,0.888888888888889,0.8952888777888778
no_ssl_stable_cnn,3,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.18660356883577084,6,3,1,9,0.8555555555555556,0.8891558441558441
no_ssl_stable_cnn,4,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.23715938320394608,4,5,1,9,0.7333333333333334,0.7786796536796536
no_ssl_stable_cnn,5,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17374588696110752,6,3,0,10,0.8444444444444446,0.8429476079476078
no_ssl_stable_cnn,7,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1120649569829702,6,3,0,10,0.9666666666666668,0.9769230769230769
no_ssl_stable_cnn,13,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17382321203445977,6,3,0,10,0.8222222222222223,0.8046142746142746
no_ssl_stable_cnn,21,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.18949920471544515,5,4,0,10,0.888888888888889,0.9022333222333222
no_ssl_stable_cnn,42,0.5,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19638626053664612,6,3,0,10,0.8444444444444446,0.8337484737484737
no_ssl_stable_cnn,0,0.5,leave_one_seed_out_oof,no_ssl_stable_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.22869148622694987,4,5,1,9,0.7666666666666666,0.8117748917748917
no_ssl_stable_cnn,1,0.692566454410553,leave_one_seed_out_oof,no_ssl_stable_cnn,single_model,19,10,False,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.23582233825664303,6,3,4,6,0.7333333333333334,0.6942307692307692
no_ssl_stable_cnn,2,0.6828565001487732,leave_one_seed_out_oof,no_ssl_stable_cnn,single_model,19,10,False,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.1460949975426795,7,2,1,9,0.888888888888889,0.8952888777888778
